"SYMBOL","OPEN","HIGH ","LOW","PREV. CLOSE","LTP ","CHNG","%CHNG","VOLUME (shares)",VALUE ,"52W H","52W L","365 D % CHNG 01-Sep-2020","30 D % CHNG 
 02-Aug-2021"
MFSL,"1,077.95","1,100.75","1,043.00","1,074.10","1,086.00",11.9,1.11,1051640,"1,13,31,10,550.80","1,148.05",566.05,78.05,-2.64
INDUSINDBK,"1,002.70","1,012.50",995.2,998.75,"1,009.85",11.1,1.11,2136382,"2,15,06,74,395.58","1,119.50",485,59.18,1.09
NAUKRI,"6,190.00","6,299.00","6,190.00","6,215.00","6,283.50",68.5,1.1,287747,"1,80,29,13,358.14","6,299.00","3,240.00",88.16,17.23
IDFCFIRSTB,44.6,45.05,44,44.45,44.9,0.45,1.01,20603198,"91,68,42,311.00",69.3,26.85,41.56,-14.27
AUBANK,"1,160.00","1,190.00","1,131.00","1,156.10","1,167.50",11.4,0.99,2957488,"3,43,55,65,935.20","1,389.85",616.7,64.92,-5.52
NMDC,151.9,154.25,151.05,152.2,153.7,1.5,0.99,8038319,"1,22,92,19,741.48",213.2,75.6,57.72,-15.51
GLENMARK,532.1,540.9,532,532.05,537.25,5.2,0.98,1117337,"60,05,35,117.39",690.95,441.7,10.09,-12.15
HDFC,"2,756.90","2,785.00","2,737.25","2,747.75","2,774.80",27.05,0.98,1734037,"4,79,18,20,505.43","2,896.00","1,623.00",48.43,11.6
TATASTEEL,"1,411.00","1,432.00","1,410.00","1,411.20","1,424.90",13.7,0.97,6148046,"8,73,85,86,662.56","1,534.50",342.75,229.22,0.08
IEX,563.25,587.3,552.75,560.3,565.65,5.35,0.95,25361342,"14,45,92,61,914.46",587.3,181,191.75,29.52
NTPC,115.1,116.7,115,115.4,116.5,1.1,0.95,5700524,"66,20,58,857.36",122,78.1,15.63,-2
UBL,"1,562.00","1,608.25","1,549.55","1,543.30","1,558.00",14.7,0.95,2587964,"4,09,00,70,064.88","1,608.25",897,53.88,7.12
ICICIBANK,722.3,728.05,717.5,719.9,726.7,6.8,0.94,8627956,"6,25,00,05,046.84",734.8,333.75,84.14,5.65
GRASIM,"1,490.00","1,507.00","1,485.00","1,486.00","1,500.00",14,0.94,1018243,"1,52,35,25,723.89","1,614.20",651.05,117.08,-6.64
EICHERMOT,"2,703.00","2,747.80","2,686.55","2,703.15","2,728.00",24.85,0.92,898434,"2,44,09,82,287.62","3,037.00","2,015.20",26.84,3.86
PIDILITIND,"2,334.95","2,362.00","2,324.00","2,313.80","2,335.00",21.2,0.92,1056284,"2,48,05,77,345.60","2,362.00","1,390.00",62.71,2.27
HCLTECH,"1,172.00","1,182.00","1,154.00","1,164.65","1,174.60",9.95,0.85,5224479,"6,10,26,09,430.32","1,193.40",682.4,68.89,12.48
BATAINDIA,"1,773.00","1,817.00","1,772.90","1,775.30","1,790.00",14.7,0.83,530270,"95,19,35,401.30","1,817.00","1,257.45",37.31,5.57
CANFINHOME,584.7,594.55,575.25,582.2,586.95,4.75,0.82,1327183,"77,94,28,032.24",619.9,364.1,52.47,4.97
COROMANDEL,794.95,819.1,794.95,794.95,801.4,6.45,0.81,962376,"77,52,13,115.52",956,682,7.4,-13.01
PNB,37.25,37.8,37.2,37.35,37.65,0.3,0.8,35910903,"1,34,77,36,189.59",46.35,26.3,7.64,-8.23
DEEPAKNTR,"2,304.00","2,335.00","2,285.05","2,304.45","2,322.00",17.55,0.76,647328,"1,49,45,37,939.84","2,335.00",671.15,228.27,11.8
